2023-04-04 10:14:59,673 [main][] INFO  m.s.s.SYSApplication Started SYSApplication in 3.207 seconds (JVM running for 4.645) 
2023-04-04 15:27:31,952 [SpringContextShutdownHook][] INFO  o.s.s.c.ThreadPoolTaskExecutor Shutting down ExecutorService 'applicationTaskExecutor' 
2023-04-04 15:27:31,988 [SpringContextShutdownHook][] INFO  c.a.d.p.DruidDataSource {dataSource-0} closing ... 
2023-04-04 15:27:36,208 [main][] INFO  m.s.s.SYSApplication Starting SYSApplication using Java 1.8.0_102 on songwe with PID 6480 (D:\WorkSpace\wrokspace-spring\service-admin\service-sys\target\classes started by 13965 in D:\WorkSpace\wrokspace-spring\service-admin) 
2023-04-04 15:27:36,210 [main][] INFO  m.s.s.SYSApplication No active profile set, falling back to default profiles: default 
2023-04-04 15:27:36,705 [main][] INFO  o.s.d.r.c.RepositoryConfigurationDelegate Multiple Spring Data modules found, entering strict repository configuration mode! 
2023-04-04 15:27:36,706 [main][] INFO  o.s.d.r.c.RepositoryConfigurationDelegate Bootstrapping Spring Data Redis repositories in DEFAULT mode. 
2023-04-04 15:27:36,732 [main][] INFO  o.s.d.r.c.RepositoryConfigurationDelegate Finished Spring Data repository scanning in 16 ms. Found 0 Redis repository interfaces. 
2023-04-04 15:27:36,864 [main][] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker Bean 'shiroConfig' of type [me.song.sys.shiro.config.ShiroConfig$$EnhancerBySpringCGLIB$$5c05677b] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying) 
2023-04-04 15:27:36,916 [main][] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker Bean 'redis.lock-me.song.sys.redisson.property.RedisProperties' of type [me.song.sys.redisson.property.RedisProperties] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying) 
2023-04-04 15:27:36,918 [main][] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker Bean 'redissonConfig' of type [me.song.sys.redisson.config.RedissonConfig$$EnhancerBySpringCGLIB$$3dec8505] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying) 
2023-04-04 15:27:36,949 [main][] INFO  m.s.s.r.s.i.StandaloneConfigImpl 初始化[单机部署]方式Config,redisAddress:127.0.0.1:6379 
2023-04-04 15:27:37,076 [main][] INFO  o.r.Version Redisson 3.5.4 
2023-04-04 15:27:37,519 [redisson-netty-1-2][] INFO  o.r.c.p.MasterPubSubConnectionPool 1 connections initialized for /127.0.0.1:6379 
2023-04-04 15:27:37,519 [redisson-netty-1-28][] INFO  o.r.c.p.MasterConnectionPool 10 connections initialized for /127.0.0.1:6379 
