2023-04-03 00:04:38,091 [SessionValidationThread-1][] INFO  o.a.s.s.m.AbstractValidatingSessionManager Validating all active sessions... 
2023-04-03 00:04:38,105 [SessionValidationThread-1][] INFO  o.a.s.s.m.AbstractValidatingSessionManager Finished session validation.  [1] sessions were stopped. 
2023-04-03 01:04:40,164 [SessionValidationThread-1][] INFO  o.a.s.s.m.AbstractValidatingSessionManager Validating all active sessions... 
2023-04-03 01:04:40,166 [SessionValidationThread-1][] INFO  o.a.s.s.m.AbstractValidatingSessionManager Finished session validation.  No sessions were stopped. 
2023-04-03 02:04:40,166 [SessionValidationThread-1][] INFO  o.a.s.s.m.AbstractValidatingSessionManager Validating all active sessions... 
2023-04-03 02:04:40,168 [SessionValidationThread-1][] INFO  o.a.s.s.m.AbstractValidatingSessionManager Finished session validation.  No sessions were stopped. 
2023-04-03 03:04:40,162 [SessionValidationThread-1][] INFO  o.a.s.s.m.AbstractValidatingSessionManager Validating all active sessions... 
2023-04-03 03:04:40,165 [SessionValidationThread-1][] INFO  o.a.s.s.m.AbstractValidatingSessionManager Finished session validation.  No sessions were stopped. 
2023-04-03 04:04:40,166 [SessionValidationThread-1][] INFO  o.a.s.s.m.AbstractValidatingSessionManager Validating all active sessions... 
2023-04-03 04:04:40,168 [SessionValidationThread-1][] INFO  o.a.s.s.m.AbstractValidatingSessionManager Finished session validation.  No sessions were stopped. 
2023-04-03 05:04:40,163 [SessionValidationThread-1][] INFO  o.a.s.s.m.AbstractValidatingSessionManager Validating all active sessions... 
2023-04-03 05:04:40,167 [SessionValidationThread-1][] INFO  o.a.s.s.m.AbstractValidatingSessionManager Finished session validation.  No sessions were stopped. 
2023-04-03 06:04:40,160 [SessionValidationThread-1][] INFO  o.a.s.s.m.AbstractValidatingSessionManager Validating all active sessions... 
2023-04-03 06:04:40,164 [SessionValidationThread-1][] INFO  o.a.s.s.m.AbstractValidatingSessionManager Finished session validation.  No sessions were stopped. 
